FE,SD_FE,FD,SD_FD,Average_PS
0.000403556,0.003348334,0.000103736,0.001486358,21.97
0.005750576,0.014473471,0.001680005,0.007590737,20.39
0.024263964,0.030918806,0.007915618,0.019068603,32.59125
0.065809878,0.051035505,0.02617348,0.041761919,26.64875
0.12720849,0.0636436,0.063076828,0.072829249,32.17
0.000418337,0.003291929,0.000106477,0.001487084,23.04125
0.005541118,0.014057197,0.001576553,0.00722712,25.19625
0.024682659,0.031422852,0.00819157,0.019805991,29.205
0.065238455,0.050828212,0.025855281,0.041498478,43.345
0.126987576,0.062497332,0.062589017,0.07170205,22.5275
0.000373708,0.003135425,9.73796E-05,0.001403296,20.82125
0.005429061,0.013754655,0.001542201,0.007103086,25.4875
0.024657395,0.031660583,0.008178058,0.019889824,23.31625
0.06537057,0.050654607,0.025739014,0.041052419,36.8125
0.126466673,0.063078827,0.062482262,0.071992384,50.60625
0.000451555,0.003775501,0.000121166,0.001780365,24.43875
0.005734219,0.014245879,0.001645815,0.007345102,17.6375
0.024553433,0.031740328,0.00814861,0.02000084,23.53375
0.06511089,0.050655998,0.025692312,0.041312328,27.1725
0.120772167,0.119353878,0.025789295,0.041523945,28.41625
0.000390996,0.003420927,0.000101788,0.001577551,28.82125
0.005630179,0.014276448,0.001637154,0.007475056,23.655
0.024904677,0.031601629,0.008245018,0.019900295,25.7325
0.064123752,0.049089527,0.024950598,0.039648658,41.09625
0.127342052,0.063277211,0.063007043,0.072414962,27.12625
0.046545867,0.093779845,0.051028428,0.149313291,59.34625
0.08774674,0.121117696,0.117922219,0.230837569,56.2275
0.114627009,0.123029034,0.193962447,0.302788993,36.40625
0.141582945,0.124008273,0.282351656,0.35066106,77.2525
0.182669533,0.115034106,0.348711346,0.351843707,68.22375
0.044618949,0.090909529,0.05320291,0.161285519,60.24125
0.082355516,0.114164386,0.116295679,0.238648698,137.325
0.113677299,0.124342729,0.201649906,0.311271968,26.535
0.139729672,0.121519006,0.282909162,0.352766901,116.2425
0.136172187,0.121174346,0.394760598,0.403445119,64.56625
0.043252828,0.090265574,0.055901182,0.170203737,56.41375
0.075657692,0.111374558,0.13123921,0.268593179,103.88
0.131318423,0.119255368,0.168590419,0.25957744,144.6575
0.132316225,0.12340794,0.293377872,0.364705641,115.13125
0.156419634,0.120734289,0.374990091,0.382591227,51.1975
0.045887904,0.087911112,0.051016453,0.152923141,26.21375
0.085288683,0.111271411,0.116148135,0.234099831,50.115
0.125386323,0.125302689,0.190638416,0.286804929,67.77625
0.123897065,0.117995175,0.300140441,0.375398039,23.84
0.176048169,0.121986176,0.366776468,0.362926004,78.37
0.04740493,0.093448085,0.053617586,0.156506088,40.5925
0.09222858,0.11798332,0.112773535,0.217489269,71.04
0.127959959,0.129682831,0.181683677,0.273267702,139.635
0.155551618,0.12672014,0.282142137,0.337637312,86.41875
0.16920008,0.122541543,0.376584397,0.37253863,40.49375
0.032221134,0.079992338,0.077512398,0.23184867,81.79375
0.061438929,0.104003563,0.158590172,0.315418077,112.14
0.082509237,0.112622234,0.246976375,0.37470692,83.6175
0.105847592,0.118463886,0.334092052,0.404836762,67.16625
0.124193993,0.118652323,0.422360049,0.418597002,167.95875
0.035030524,0.083521901,0.074915149,0.223745134,49.9
0.064079004,0.105519284,0.156674676,0.310930721,154.8975
0.070064877,0.106782247,0.254823639,0.388885002,109.90875
0.115104312,0.119457958,0.327356459,0.395576861,121.055
0.122301887,0.118413201,0.424760738,0.420516859,209.975
0.034050895,0.082375164,0.071937894,0.219256691,56.4275
0.105847592,0.118463886,0.334092052,0.404836762,120.65125
0.0796416,0.112448544,0.213896721,0.352175849,91.7925
0.089844133,0.114886955,0.279648235,0.389661024,60.18625
0.11594743,0.118712959,0.364903291,0.409371214,149.3675
0.034520136,0.083050301,0.073340221,0.221289287,42.51
0.06480659,0.105158836,0.152757083,0.306034352,114.6175
0.089295467,0.11507154,0.230185154,0.357503019,145.25625
0.106140443,0.118820634,0.301171624,0.389505819,108.9875
0.120772167,0.119353878,0.390548496,0.413556964,158.1775
0.036420778,0.085530744,0.073848993,0.219843271,62.72875
0.059560467,0.102322083,0.160658151,0.319267515,35.96125
0.081625052,0.1126626,0.248677184,0.376390874,139.125
0.109323622,0.118052393,0.330347196,0.401148448,182.60625
0.112716817,0.117509387,0.431117346,0.427808598,118.8
